start_token_n_1based,segment_size_c,layer_idx,unique_expert_count_mean,count,std,min,max
-1,10,20,26.601307189542485,3060,4.114954697747216,14,42
-1,10,21,27.129411764705882,3060,4.188074139985957,15,43
-1,10,22,30.347385620915034,3060,4.407033557957494,17,47
-1,10,23,31.86470588235294,3060,4.295248834271943,17,46
-1,10,24,29.92156862745098,3060,4.10611040816926,18,44
-1,10,25,34.45294117647059,3060,4.416980501101487,17,52
-1,10,26,30.288235294117648,3060,4.161019331833442,16,46
-1,10,27,28.02483660130719,3060,4.327327594705474,15,47
-1,10,28,31.208496732026145,3060,4.229945824165294,15,48
-1,10,29,33.23300653594771,3060,4.57185794188974,17,51
-1,10,30,22.476470588235294,3060,4.177779679149737,11,38
-1,10,31,22.266013071895426,3060,4.109146120980475,10,38
-1,10,32,26.59575163398693,3060,4.381711254509515,14,43
-1,10,33,27.200653594771243,3060,4.389606982208965,14,45
-1,10,34,31.55457516339869,3060,4.501639160533459,16,47
-1,10,35,33.187254901960785,3060,4.456161201255828,19,52
-1,10,36,31.79673202614379,3060,4.46926839944054,18,52
-1,10,37,37.044117647058826,3060,4.8429079565412225,16,52
-1,10,38,32.94934640522876,3060,4.693033818819823,17,48
-1,10,39,30.13888888888889,3060,4.784604417495044,16,47
-1,10,40,32.65457516339869,3060,4.595287534128657,15,51
-1,10,41,35.15359477124183,3060,4.725613072805057,15,53
-1,10,42,34.23692810457516,3060,4.6743311183298255,15,52
-1,10,43,29.386601307189544,3060,4.784046806031443,16,50
-1,10,44,29.466013071895425,3060,4.679581703151312,17,48
-1,10,45,28.89183006535948,3060,5.061737054061279,16,49
-1,10,46,32.605555555555554,3060,5.435373394208878,16,52
-1,10,47,38.08300653594771,3060,6.124856413041519,15,58
-1,12,0,57.712941176470586,2550,5.8772547634756,33,74
-1,12,1,49.92156862745098,2550,4.894585671919607,28,66
-1,12,2,44.42235294117647,2550,4.948464336227721,24,60
-1,12,3,42.62235294117647,2550,4.673797224445513,26,57
-1,12,4,39.01843137254902,2550,4.626078436098568,21,55
-1,12,5,37.86627450980392,2550,4.518798172027027,15,53
-1,12,6,28.778039215686274,2550,4.38283547949958,13,46
-1,12,7,27.207450980392156,2550,4.179817488538724,12,43
-1,12,8,32.287058823529414,2550,4.45155576637474,18,49
-1,12,9,31.894117647058824,2550,4.485074492043415,18,47
-1,12,10,35.33686274509804,2550,4.772651382296053,20,52
-1,12,11,36.43058823529412,2550,4.630955513422653,21,51
-1,12,12,34.606274509803924,2550,4.404547545120117,20,48
-1,12,13,38.127450980392155,2550,4.789224633465125,22,53
-1,12,14,33.51176470588236,2550,4.465426536637783,21,51
-1,12,15,30.51764705882353,2550,4.400537873359762,18,48
-1,12,16,33.846666666666664,2550,4.282631937826874,20,51
-1,12,17,36.1721568627451,2550,4.342055019884727,17,51
-1,12,18,25.082745098039215,2550,4.4643894498344965,12,41
-1,12,19,24.556470588235292,2550,3.9806006747935854,13,40
-1,12,20,28.77294117647059,2550,4.374375836939449,16,44
-1,12,21,29.341960784313727,2550,4.527056111049717,16,47
-1,12,22,33.01529411764706,2550,4.681642132819722,19,49
-1,12,23,34.679607843137255,2550,4.476399014788674,20,52
-1,12,24,32.4156862745098,2550,4.327300389147107,19,50
-1,12,25,37.35843137254902,2550,4.652135756309302,20,54
-1,12,26,32.712941176470586,2550,4.496364118579404,20,49
-1,12,27,30.321176470588235,2550,4.609419308284651,15,48
-1,12,28,33.7278431372549,2550,4.483049595406511,13,51
-1,12,29,35.966274509803924,2550,4.802375327984771,20,55
-1,12,30,24.12078431372549,2550,4.526578950969655,13,40
-1,12,31,23.961176470588235,2550,4.383765677870249,12,41
-1,12,32,28.854901960784314,2550,4.67551713343888,15,46
-1,12,33,29.483137254901962,2550,4.713642833005515,16,46
-1,12,34,34.371764705882356,2550,4.757252399838827,19,50
-1,12,35,36.14941176470588,2550,4.790637287143155,19,57
-1,12,36,34.473333333333336,2550,4.863281316706283,20,54
-1,12,37,40.08862745098039,2550,5.162102379771082,16,60
-1,12,38,35.588235294117645,2550,5.0907668425728145,21,52
-1,12,39,32.596862745098036,2550,5.259137088127168,14,50
-1,12,40,35.18274509803921,2550,5.064543816957013,16,55
-1,12,41,37.88078431372549,2550,5.113224050711123,17,56
-1,12,42,36.79686274509804,2550,5.093891868423152,16,54
-1,12,43,31.51607843137255,2550,5.289383312590072,19,49
