algorithm,cache_ratio,step,iso_alpha_mean,iso_alpha_std,seq_alpha_mean,seq_alpha_std,iso_total,seq_total,alpha_decay,iso_stop_rate,seq_stop_rate
OnlineAB,0.750,6,0.5917,0.2694,0.8848,0.2658,0.6915,0.9231,0.8785,0.0078,0.0820
OnlineAB,0.750,7,0.6175,0.2873,0.8803,0.2707,0.6915,0.9231,0.8785,0.0078,0.0820
OnlineAB,0.750,8,0.6222,0.2919,0.8593,0.3204,0.6915,0.9231,0.8785,0.0078,0.0820
HybridCP,0.750,1,0.9765,0.0242,0.9765,0.0242,0.6917,0.8894,0.8715,0.0000,0.0000
HybridCP,0.750,2,0.7110,0.2378,0.9736,0.0433,0.6917,0.8894,0.8715,0.0000,0.0000
HybridCP,0.750,3,0.6691,0.2257,0.9214,0.2372,0.6917,0.8894,0.8715,0.0000,0.0000
HybridCP,0.750,4,0.6910,0.2789,0.8868,0.2636,0.6917,0.8894,0.8715,0.0000,0.0000
HybridCP,0.750,5,0.6491,0.2880,0.8331,0.3449,0.6917,0.8894,0.8715,0.0000,0.0000
HybridCP,0.750,6,0.6054,0.2653,0.8472,0.3159,0.6917,0.8894,0.8715,0.0000,0.0000
HybridCP,0.750,7,0.6165,0.2865,0.8258,0.3529,0.6917,0.8894,0.8715,0.0000,0.0000
HybridCP,0.750,8,0.6150,0.2886,0.8510,0.3246,0.6917,0.8894,0.8715,0.0000,0.0000
