algorithm,cache_ratio,step,iso_alpha_mean,iso_alpha_std,seq_alpha_mean,seq_alpha_std,iso_total,seq_total,alpha_decay,iso_stop_rate,seq_stop_rate
W3_UniformRedist,0.250,4,0.6145,0.2665,0.4662,0.3970,0.5833,0.4372,0.3612,0.0000,0.0000
W3_UniformRedist,0.250,5,0.6303,0.2636,0.3870,0.3670,0.5833,0.4372,0.3612,0.0000,0.0000
W3_UniformRedist,0.250,6,0.4904,0.2496,0.2908,0.3577,0.5833,0.4372,0.3612,0.0000,0.0000
W3_UniformRedist,0.250,7,0.5371,0.2850,0.2501,0.3615,0.5833,0.4372,0.3612,0.0000,0.0000
W3_UniformRedist,0.250,8,0.4980,0.2727,0.2485,0.3517,0.5833,0.4372,0.3612,0.0000,0.0000
W4_TopHitRedist,0.500,1,0.8758,0.1079,0.8758,0.1079,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.500,2,0.7128,0.2212,0.8643,0.1764,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.500,3,0.6803,0.1967,0.8205,0.2655,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.500,4,0.6521,0.2930,0.6969,0.3572,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.500,5,0.6590,0.2793,0.6138,0.4187,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.500,6,0.5788,0.2676,0.6044,0.4187,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.500,7,0.5902,0.2938,0.5905,0.4357,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.500,8,0.5882,0.2878,0.6124,0.4391,0.6672,0.7098,0.6992,0.0000,0.0000
W4_TopHitRedist,0.250,1,0.4854,0.2724,0.4854,0.2724,0.4463,0.1717,0.0957,0.0000,0.0000
W4_TopHitRedist,0.250,2,0.5407,0.2445,0.3087,0.3032,0.4463,0.1717,0.0957,0.0000,0.0000
W4_TopHitRedist,0.250,3,0.4806,0.2830,0.1670,0.2455,0.4463,0.1717,0.0957,0.0000,0.0000
W4_TopHitRedist,0.250,4,0.5000,0.2887,0.1096,0.2076,0.4463,0.1717,0.0957,0.0000,0.0000
W4_TopHitRedist,0.250,5,0.4922,0.2560,0.1446,0.2594,0.4463,0.1717,0.0957,0.0000,0.0000
W4_TopHitRedist,0.250,6,0.3740,0.2651,0.0730,0.1046,0.4463,0.1717,0.0957,0.0000,0.0000
W4_TopHitRedist,0.250,7,0.3445,0.2580,0.0387,0.0415,0.4463,0.1717,0.0957,0.0000,0.0000
W4_TopHitRedist,0.250,8,0.3533,0.2823,0.0465,0.0960,0.4463,0.1717,0.0957,0.0000,0.0000
Alg2_EntropyBias,0.500,1,0.9400,0.0456,0.9400,0.0456,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.500,2,0.7075,0.2283,0.9357,0.0738,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.500,3,0.6770,0.2172,0.8969,0.2345,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.500,4,0.6786,0.2797,0.8448,0.2594,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.500,5,0.6494,0.2852,0.7781,0.3411,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.500,6,0.6044,0.2565,0.8020,0.3102,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.500,7,0.6168,0.2818,0.7029,0.4163,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.500,8,0.6206,0.2836,0.6832,0.4215,0.6868,0.8229,0.7268,0.0000,0.0000
Alg2_EntropyBias,0.250,1,0.8505,0.1277,0.8505,0.1277,0.6558,0.5761,0.4594,0.0000,0.0000
Alg2_EntropyBias,0.250,2,0.6906,0.2012,0.7531,0.2570,0.6558,0.5761,0.4594,0.0000,0.0000
Alg2_EntropyBias,0.250,3,0.6399,0.2132,0.6917,0.3410,0.6558,0.5761,0.4594,0.0000,0.0000
Alg2_EntropyBias,0.250,4,0.6564,0.2734,0.6097,0.3954,0.6558,0.5761,0.4594,0.0000,0.0000
Alg2_EntropyBias,0.250,5,0.6330,0.2768,0.5050,0.4218,0.6558,0.5761,0.4594,0.0000,0.0000
Alg2_EntropyBias,0.250,6,0.5906,0.2554,0.4293,0.4233,0.6558,0.5761,0.4594,0.0000,0.0000
Alg2_EntropyBias,0.250,7,0.5970,0.2783,0.3791,0.4377,0.6558,0.5761,0.4594,0.0000,0.0000
Alg2_EntropyBias,0.250,8,0.5887,0.3009,0.3907,0.4179,0.6558,0.5761,0.4594,0.0000,0.0000
Alg3_RouterMerge,0.500,1,0.9159,0.0547,0.9159,0.0547,0.6856,0.7271,0.6517,0.0000,0.0000
Alg3_RouterMerge,0.500,2,0.7164,0.2207,0.9087,0.1292,0.6856,0.7271,0.6517,0.0000,0.0000
Alg3_RouterMerge,0.500,3,0.6960,0.1881,0.8048,0.3311,0.6856,0.7271,0.6517,0.0000,0.0000
